Elapsed Time (s),Voltage(V)
0.0,3.0
20.04008016032064,3.0
40.08016032064128,3.0
60.120240480961925,3.0
80.16032064128257,3.0
100.20040080160321,3.0
120.24048096192385,3.0
140.28056112224448,3.0
160.32064128256513,3.0
180.3607214428858,3.0
200.40080160320642,3.0
220.44088176352705,3.0
240.4809619238477,3.0
260.52104208416836,3.0
280.56112224448896,3.0
300.6012024048096,3.0
320.64128256513027,3.0
340.6813627254509,3.0
360.7214428857716,3.0
380.7615230460922,3.0
400.80160320641284,3.0
420.8416833667335,3.0
440.8817635270541,3.0
460.92184368737475,3.0
480.9619238476954,3.0
501.00200400801606,3.0
521.0420841683367,3.0
541.0821643286573,3.0
561.1222444889779,3.0
581.1623246492986,3.0
601.2024048096192,3.0
621.2424849699399,3.0
641.2825651302605,3.0
661.3226452905811,3.0
681.3627254509018,3.0
701.4028056112224,3.0
721.4428857715432,3.0
741.4829659318638,3.0
761.5230460921844,3.0
781.5631262525051,3.0
801.6032064128257,3.0
821.6432865731463,3.0
841.683366733467,3.0
861.7234468937876,3.0
881.7635270541082,3.0
901.8036072144289,3.0
921.8436873747495,3.0
941.8837675350702,3.0
961.9238476953908,3.0
981.9639278557114,3.0
1002.0040080160321,3.0
1022.0440881763527,3.0
1042.0841683366734,3.0
1062.124248496994,3.0
1082.1643286573146,3.0
1102.2044088176353,3.0
1122.2444889779558,3.0
1142.2845691382765,3.0
1162.3246492985973,3.0
1182.364729458918,3.0
1202.4048096192384,3.0
1222.4448897795592,3.0
1242.4849699398799,3.0
1262.5250501002004,3.0
1282.565130260521,3.0
1302.6052104208418,3.0
1322.6452905811623,3.0
1342.685370741483,3.0
1362.7254509018037,3.0
1382.7655310621242,3.0
1402.805611222445,3.0
1422.8456913827656,3.0
1442.8857715430863,3.0
1462.9258517034068,3.0
1482.9659318637275,3.0
1503.0060120240482,3.0
1523.0460921843687,3.0
1543.0861723446894,3.0
1563.1262525050101,3.0
1583.1663326653306,3.0
1603.2064128256513,3.0
1623.246492985972,3.0
1643.2865731462925,3.0
1663.3266533066133,3.0
1683.366733466934,3.0
1703.4068136272545,3.0
1723.4468937875752,3.0
1743.4869739478959,3.0
1763.5270541082164,3.0
1783.567134268537,3.0
1803.6072144288578,3.0
1823.6472945891785,3.0
1843.687374749499,3.0
1863.7274549098197,3.0
1883.7675350701404,3.0
1903.807615230461,3.0
1923.8476953907816,3.0
1943.8877755511023,3.0
1963.9278557114228,3.0
1983.9679358717435,3.0
2004.0080160320642,3.0
2024.0480961923847,3.0
2044.0881763527054,3.0
2064.128256513026,3.0
2084.168336673347,3.0
2104.2084168336673,3.0
2124.248496993988,3.0
2144.2885771543088,3.0
2164.3286573146293,3.0
2184.3687374749497,3.0
2204.4088176352707,3.0
2224.448897795591,3.0
2244.4889779559117,3.0
2264.5290581162326,3.0
2284.569138276553,3.0
2304.609218436874,3.0
2324.6492985971945,3.0
2344.689378757515,3.0
2364.729458917836,3.0
2384.7695390781564,3.0
2404.809619238477,3.0
2424.849699398798,3.0
2444.8897795591183,3.0
2464.929859719439,3.0
2484.9699398797597,3.0
2505.0100200400802,3.0
2525.0501002004007,3.0
2545.0901803607217,3.0
2565.130260521042,3.0
2585.1703406813626,3.0
2605.2104208416836,3.0
2625.250501002004,3.0
2645.2905811623245,3.0
2665.3306613226455,3.0
2685.370741482966,3.0
2705.4108216432865,3.0
2725.4509018036074,3.0
2745.490981963928,3.0
2765.5310621242484,3.0
2785.5711422845693,3.0
2805.61122244489,3.0
2825.6513026052103,3.0
2845.691382765531,3.0
2865.7314629258517,3.0
2885.7715430861726,3.0
2905.811623246493,3.0
2925.8517034068136,3.0
2945.8917835671346,3.0
2965.931863727455,3.0
2985.9719438877755,3.0
3006.0120240480965,3.0
3026.052104208417,3.0
3046.0921843687374,3.0
3066.1322645290584,3.0
3086.172344689379,3.0
3106.2124248496993,3.0
3126.2525050100203,3.0
3146.2925851703408,3.0
3166.3326653306613,3.0
3186.372745490982,3.0
3206.4128256513027,3.0
3226.452905811623,3.0
3246.492985971944,3.0
3266.5330661322646,3.0
3286.573146292585,3.0
3306.613226452906,3.0
3326.6533066132265,3.0
3346.693386773547,3.0
3366.733466933868,3.0
3386.7735470941884,3.0
3406.813627254509,3.0
3426.85370741483,3.0
3446.8937875751503,3.0
3466.933867735471,3.0
3486.9739478957918,3.0
3507.0140280561122,3.0
3527.0541082164327,3.0
3547.0941883767537,3.0
3567.134268537074,3.0
3587.174348697395,3.0
3607.2144288577156,3.0
3627.254509018036,3.0
3647.294589178357,3.0
3667.3346693386775,3.0
3687.374749498998,3.0
3707.414829659319,3.0
3727.4549098196394,3.0
3747.49498997996,3.0
3767.535070140281,3.0
3787.5751503006013,3.0
3807.615230460922,3.0
3827.6553106212427,3.0
3847.695390781563,3.0
3867.7354709418837,3.0
3887.7755511022046,3.0
3907.815631262525,3.0
3927.8557114228456,3.0
3947.8957915831666,3.0
3967.935871743487,3.0
3987.9759519038075,3.0
4008.0160320641285,3.0
4028.056112224449,3.0
4048.0961923847694,3.0
4068.1362725450904,3.0
4088.176352705411,3.0
4108.216432865732,3.0
4128.256513026052,3.0
4148.296593186373,3.0
4168.336673346694,3.0
4188.376753507014,3.0
4208.416833667335,3.0
4228.456913827656,3.0
4248.496993987976,3.0
4268.537074148297,3.0
4288.5771543086175,3.0
4308.617234468938,3.0
4328.6573146292585,3.0
4348.697394789579,3.0
4368.7374749498995,3.0
4388.77755511022,3.0
4408.817635270541,3.0
4428.857715430861,3.0
4448.897795591182,3.0
4468.937875751503,3.0
4488.977955911823,3.0
4509.018036072144,3.0
4529.058116232465,3.0
4549.098196392786,3.0
4569.138276553106,3.0
4589.178356713427,3.0
4609.218436873748,3.0
4629.258517034068,3.0
4649.298597194389,3.0
4669.33867735471,3.0
4689.37875751503,3.0
4709.418837675351,3.0
4729.458917835672,3.0
4749.498997995992,3.0
4769.539078156313,3.0
4789.579158316634,3.0
4809.619238476954,3.0
4829.659318637275,3.0
4849.699398797596,3.0
4869.739478957916,3.0
4889.779559118237,3.0
4909.819639278558,3.0
4929.859719438878,3.0
4949.899799599199,3.0
4969.9398797595195,3.0
4989.9799599198395,3.0
5010.0200400801605,3.0
5030.060120240481,3.0
5050.100200400801,3.0
5070.140280561122,3.0
5090.180360721443,3.0
5110.220440881763,3.0
5130.260521042084,3.0
5150.300601202405,3.0
5170.340681362725,3.0
5190.380761523046,3.0
5210.420841683367,3.0
5230.460921843687,3.0
5250.501002004008,3.0
5270.541082164329,3.0
5290.581162324649,3.0
5310.62124248497,3.0
5330.661322645291,3.0
5350.701402805611,3.0
5370.741482965932,3.0
5390.781563126253,3.0
5410.821643286573,3.0
5430.861723446894,3.0
5450.901803607215,3.0
5470.941883767535,3.0
5490.981963927856,3.0
5511.022044088177,3.0
5531.062124248497,3.0
5551.102204408818,3.0
5571.142284569139,3.0
5591.182364729459,3.0
5611.22244488978,3.0
5631.2625250501005,3.0
5651.302605210421,3.0
5671.3426853707415,3.0
5691.382765531062,3.0
5711.4228456913825,3.0
5731.462925851703,3.0
5751.503006012024,3.0
5771.543086172345,3.0
5791.583166332665,3.0
5811.623246492986,3.0
5831.663326653307,3.0
5851.703406813627,3.0
5871.743486973948,3.0
5891.783567134269,3.0
5911.823647294589,3.0
5931.86372745491,3.0
5951.903807615231,3.0
5971.943887775551,3.0
5991.983967935872,3.0
6012.024048096193,3.0
6032.064128256513,3.0
6052.104208416834,3.0
6072.144288577155,3.0
6092.184368737475,3.0
6112.224448897796,3.0
6132.264529058117,3.0
6152.304609218437,3.0
6172.344689378758,3.0
6192.384769539079,3.0
6212.424849699399,3.0
6232.46492985972,3.0
